School,Common name,Nickname,City,State,Type,Subdivision,Primary
Loyola University Maryland,Loyola,Greyhounds,Baltimore,MD,Private,Non-football,Patriot League
University of North Carolina at Greensboro,UNC Greensboro,Spartans,Greensboro,NC,Public,Non-football,Southern Conference
Texas A&M University–Corpus Christi,Texas A&M–Corpus Christi,Islanders,Corpus Christi,TX,Public,Non-football,Southland Conference
University of New Orleans,New Orleans,Privateers,New Orleans,LA,Public,Non-football,Southland Conference
Oral Roberts University,Oral Roberts,Golden Eagles,Tulsa,OK,Private,Non-football,Summit League
University of Missouri–Kansas City,Kansas City,Roos,Kansas City,MO,Public,Non-football,Summit League
University of Nebraska Omaha,Omaha,Mavericks,Omaha,NE,Public,Non-football,Summit League
University of Denver,Denver,Pioneers,Denver,CO,Private,Non-football,Summit League[C 13]
Loyola Marymount University,Loyola Marymount,Lions,Los Angeles,CA,Private,Non-football,West Coast Conference
Pepperdine University,Pepperdine,Waves,Malibu[L 13],CA,Private,Non-football,West Coast Conference
Saint Mary's College of California,Saint Mary's,Gaels,Moraga,CA,Private,Non-football,West Coast Conference
Santa Clara University,Santa Clara,Broncos,Santa Clara,CA,Private,Non-football,West Coast Conference
Seattle University,Seattle[N 8],Redhawks,Seattle,WA,Private,Non-football,West Coast Conference
University of Portland,Portland,Pilots,Portland,OR,Private,Non-football,West Coast Conference
University of San Francisco,San Francisco,Dons,San Francisco,CA,Private,Non-football,West Coast Conference
University of the Pacific,Pacific,Tigers,Stockton,CA,Private,Non-football,West Coast Conference
Gonzaga University,Gonzaga,Bulldogs[N 5],Spokane,WA,Private,Non-football,West Coast Conference[C 3]
The University of Texas at Arlington,UT Arlington,Mavericks,Arlington,TX,Public,Non-football,Western Athletic Conference[C 1]
California Baptist University,Cal Baptist,Lancers,Riverside,CA,Private,Non-football,Western Athletic Conference[C 4]
Utah Valley University,Utah Valley,Wolverines,Orem,UT,Public,Non-football,Western Athletic Conference[C 4]
